"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","tested_combinations","normal_combinations","fallback_combinations","max_supported_ul_dl_sum"
"11","128","500","86","256","0","256","0"
"11","128","500","87","256","0","256","0"
"11","128","500","88","256","0","256","0"
"11","128","500","89","256","0","256","0"
"11","128","500","90","256","0","256","0"
"11","128","500","91","256","0","256","0"
"11","128","500","92","256","0","256","0"
"11","128","500","93","256","0","256","0"
"11","128","500","94","256","0","256","0"
"11","128","500","95","256","0","256","0"
"11","128","500","96","256","0","256","0"
"11","128","500","97","256","0","256","0"
"11","128","500","98","256","0","256","0"
"11","128","500","99","256","0","256","0"
"11","128","500","100","256","0","256","0"
"18","128","500","1","256","256","0","32"
"18","128","500","2","256","256","0","32"
"18","128","500","3","256","256","0","32"
"18","128","500","4","256","256","0","32"
"18","128","500","5","256","256","0","32"
"18","128","500","6","256","256","0","32"
"18","128","500","7","256","256","0","32"
"18","128","500","8","256","256","0","32"
"18","128","500","9","256","256","0","32"
"18","128","500","10","256","256","0","32"
"18","128","500","11","256","0","256","0"
"18","128","500","12","256","256","0","32"
"18","128","500","13","256","0","256","0"
"18","128","500","14","256","256","0","32"
"18","128","500","15","256","256","0","32"
"18","128","500","16","256","256","0","32"
"18","128","500","17","256","0","256","0"
"18","128","500","18","256","256","0","32"
"18","128","500","19","256","0","256","0"
"18","128","500","20","256","256","0","32"
"18","128","500","21","256","0","256","0"
"18","128","500","22","256","0","256","0"
"18","128","500","23","256","0","256","0"
"18","128","500","24","256","256","0","32"
"18","128","500","25","256","256","0","32"
"18","128","500","26","256","0","256","0"
"18","128","500","27","256","0","256","0"
"18","128","500","28","256","256","0","32"
"18","128","500","29","256","0","256","0"
"18","128","500","30","256","256","0","32"
"18","128","500","31","256","0","256","0"
"18","128","500","32","256","256","0","32"
"18","128","500","33","256","0","256","0"
"18","128","500","34","256","0","256","0"
"18","128","500","35","256","256","0","32"
"18","128","500","36","256","256","0","32"
"18","128","500","37","256","0","256","0"
"18","128","500","38","256","0","256","0"
"18","128","500","39","256","0","256","0"
"18","128","500","40","256","256","0","32"
"18","128","500","41","256","0","256","0"
"18","128","500","42","256","0","256","0"
"18","128","500","43","256","0","256","0"
"18","128","500","44","256","0","256","0"
"18","128","500","45","256","256","0","32"
"18","128","500","46","256","0","256","0"
"18","128","500","47","256","0","256","0"
