"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","brd_blocks","ul_blocks","dl_blocks","total_ul_dl_blocks","raw_period_us","frame_period_us","frame_count","added_gap_us","normal_solution","total_duration_us"
"5","2","62.5","2","2","2","12","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","3","1","4","2146719","2250000","4","103281","1","9000000"
"5","2","62.5","2","2","3","2","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","2","2","3","3","6","2671007","3000000","2","328993","1","6000000"
"5","2","62.5","2","2","3","4","7","2933151","3000000","2","66849","1","6000000"
"5","2","62.5","2","2","3","5","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","2","2","3","6","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","3","7","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","3","8","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","3","9","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","3","10","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","3","11","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","4","1","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","2","2","4","2","6","2671007","3000000","2","328993","1","6000000"
"5","2","62.5","2","2","4","3","7","2933151","3000000","2","66849","1","6000000"
"5","2","62.5","2","2","4","4","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","2","2","4","5","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","4","6","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","4","7","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","4","8","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","4","9","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","4","10","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","5","1","6","2671007","3000000","2","328993","1","6000000"
"5","2","62.5","2","2","5","2","7","2933151","3000000","2","66849","1","6000000"
"5","2","62.5","2","2","5","3","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","2","2","5","4","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","5","5","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","5","6","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","5","7","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","5","8","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","5","9","14","4768159","5000000","2","231841","1","10000000"
